scheduleId,tenantId,admin_pk,customer_id,customer_name,title,integration,patrolType,scheduleCameraCount,siteCameraCount,verdict,immix_code_at_scan,immix_status_at_scan,createdDate,updatedDate,disabledAt,disabledBy
4ea364f8-5825-4502-865b-08de6b14f39b,dfda7621-f1d3-4469-b6df-dea988fd81a9,431,42689,VCH Demo Site,AutoPatrol,AutoPatrol,AutoPatrol,5,5,gone_explicit,200,Deleted,2026-02-19T15:34:49,2026-04-24T19:35:11,2026-04-24T19:34:32,cleanup_lambda
02812a83-7834-4c01-49f5-08de4f8a91c4,dfda7621-f1d3-4469-b6df-dea988fd81a9,498,38313,Lab Audio,test,AutoPatrol,AutoPatrol,2,4,gone_explicit,200,Deleted,2026-02-24T22:50:39,2026-04-24T19:34:56,2026-04-24T19:34:32,cleanup_lambda
55439530-9de6-409b-5108-08de754553ed,7b533b5a-a071-43ab-beb9-fb1cb9ea4ce1,595,43138,Elva Nunes Residence,VCH Check,VCH,VisualCameraHealth,2,2,gone_400,400,(err),2026-02-26T18:31:37,2026-04-24T19:34:44,2026-04-24T19:34:32,cleanup_lambda
0e8f2e9a-0fac-4f8d-49f0-08de4f8a91c4,dfda7621-f1d3-4469-b6df-dea988fd81a9,598,38316,DH,test,AutoPatrol,AutoPatrol,3,3,gone_explicit,200,Deleted,2026-03-03T18:14:09,2026-04-24T19:34:41,2026-04-24T19:34:32,cleanup_lambda
f123ae8f-8c68-46fd-2f4b-08de794c2d73,69e1fb38-3413-4023-b6f8-c3d687bd6f61,629,43632,VCH Test Site - VID9999,Visual Camera Health,VCH,VisualCameraHealth,1,1,gone_400,400,(err),2026-03-04T18:56:18,2026-04-24T19:35:12,2026-04-24T19:34:32,cleanup_lambda
66ff7bd4-4b8b-4aaa-865e-08de6b14f39b,dfda7621-f1d3-4469-b6df-dea988fd81a9,663,43928,hanwha (Health Check),Visual Camera Health,VCH,VisualCameraHealth,13,13,gone_explicit,200,Deleted,2026-03-09T16:12:28,2026-04-24T19:34:55,2026-04-24T19:34:32,cleanup_lambda
836fa518-adce-4f9f-9eb0-08de7df60b13,69e1fb38-3413-4023-b6f8-c3d687bd6f61,696,44029,RRMS Corona Office - 80409998 VID4000,Visual Camera Health,VCH,VisualCameraHealth,6,6,gone_explicit,200,Deleted,2026-03-11T13:57:49,2026-04-24T19:35:01,2026-04-24T19:34:32,cleanup_lambda
db5eb770-edb7-45f3-a03b-08de8f388c7e,f858b03b-2a85-4771-89d5-dbf62456ed7b,959,38737,ULTA #0583 PARKWAY PLAZA (4666517),Visual Camera Health,VCH,VisualCameraHealth,8,8,gone_explicit,200,Deleted,2026-04-01T14:45:59,2026-04-24T19:35:10,2026-04-24T19:34:32,cleanup_lambda
11d09ce2-befe-435e-a03c-08de8f388c7e,dfda7621-f1d3-4469-b6df-dea988fd81a9,992,38319,Site 2,AutoPatrol,AutoPatrol,AutoPatrol,3,3,gone_explicit,200,Deleted,2026-04-02T13:21:01,2026-04-24T19:35:03,2026-04-24T19:34:32,cleanup_lambda
39e1d98e-3924-47c2-49ec-08de4f8a91c4,dfda7621-f1d3-4469-b6df-dea988fd81a9,993,38319,Site 2,test,AutoPatrol,AutoPatrol,3,3,gone_explicit,200,Deleted,2026-04-02T13:22:26,2026-04-24T19:35:04,2026-04-24T19:34:32,cleanup_lambda
911ca04e-e0a8-45a8-a043-08de8f388c7e,dfda7621-f1d3-4469-b6df-dea988fd81a9,1032,45845,hanwha 2 (Health Check),Visual Camera Health,VCH,VisualCameraHealth,6,6,gone_explicit,200,Deleted,2026-04-08T18:13:03,2026-04-24T19:34:50,2026-04-24T19:34:32,cleanup_lambda
56b9ba89-8985-4abb-d04c-08de842903cf,dfda7621-f1d3-4469-b6df-dea988fd81a9,1033,45845,hanwha 2 (Health Check),Visual Camera Health,VCH,VisualCameraHealth,6,6,gone_explicit,200,Deleted,2026-04-08T18:13:03,2026-04-24T19:34:51,2026-04-24T19:34:32,cleanup_lambda
1c963f06-bcbf-45f8-d03c-08de842903cf,dfda7621-f1d3-4469-b6df-dea988fd81a9,1034,45845,hanwha 2 (Health Check),Visual Camera Health,VCH,VisualCameraHealth,6,6,gone_explicit,200,Deleted,2026-04-08T18:13:04,2026-04-24T19:34:51,2026-04-24T19:34:32,cleanup_lambda
b5509ab8-9824-4f01-d03a-08de842903cf,dfda7621-f1d3-4469-b6df-dea988fd81a9,1035,45845,hanwha 2 (Health Check),Visual Camera Health,VCH,VisualCameraHealth,4,6,gone_explicit,200,Deleted,2026-04-08T18:13:04,2026-04-24T19:34:52,2026-04-24T19:34:32,cleanup_lambda
e3b3ba1a-109a-4ca6-9eae-08de7df60b13,dfda7621-f1d3-4469-b6df-dea988fd81a9,1036,45845,hanwha 2 (Health Check),Visual Camera Health,VCH,VisualCameraHealth,6,6,gone_explicit,200,Deleted,2026-04-08T18:13:04,2026-04-24T19:34:52,2026-04-24T19:34:32,cleanup_lambda
64ef36df-90eb-488e-865f-08de6b14f39b,dfda7621-f1d3-4469-b6df-dea988fd81a9,1037,45845,hanwha 2 (Health Check),Visual Camera Health,VCH,VisualCameraHealth,6,6,gone_explicit,200,Deleted,2026-04-08T18:13:04,2026-04-24T19:34:53,2026-04-24T19:34:32,cleanup_lambda
9dc3b41b-bb24-419c-a047-08de8f388c7e,f858b03b-2a85-4771-89d5-dbf62456ed7b,1048,38711,CORPORATE SERVICES (5600055),Visual Camera Health,VCH,VisualCameraHealth,29,29,gone_explicit,200,Deleted,2026-04-09T21:17:18,2026-04-24T19:34:40,2026-04-24T19:34:32,cleanup_lambda
7f02ec73-3af8-4b5f-871b-08de99738c40,dfda7621-f1d3-4469-b6df-dea988fd81a9,1051,45845,hanwha 2 (Health Check),Visual Camera Health,VCH,VisualCameraHealth,6,6,gone_explicit,200,Deleted,2026-04-14T18:25:57,2026-04-24T19:34:53,2026-04-24T19:34:32,cleanup_lambda
c76c0856-5216-4999-871c-08de99738c40,dfda7621-f1d3-4469-b6df-dea988fd81a9,1052,45845,hanwha 2 (Health Check),Visual Camera Health,VCH,VisualCameraHealth,6,6,gone_explicit,200,Deleted,2026-04-14T18:27:23,2026-04-24T19:34:54,2026-04-24T19:34:32,cleanup_lambda
fc13c9bd-b82a-4b3b-871d-08de99738c40,cf3332da-49dd-4757-b64f-0d5e207ae9e2,1053,44781,GWSI|GoldenWestSecurity|308151|CinmarkKester,Visual Camera Health 2,VCH,VisualCameraHealth,2,6,gone_explicit,200,Deleted,2026-04-16T19:21:40,2026-04-24T19:34:50,2026-04-24T19:34:32,cleanup_lambda
f03a4928-1f91-43f7-3871-08dea13d817e,be2da6ac-850e-4685-a874-d1e0c4b9e6f9,1057,46292,Victoria - Demo,Visual Camera Health,VCH,VisualCameraHealth,9,9,gone_explicit,200,Deleted,2026-04-23T15:48:46,2026-04-24T19:35:12,2026-04-24T19:34:32,cleanup_lambda
